Player,Country
Tiger Woods,United States of America
Ernie Els,South Africa
David Duval,United States of America
Phil Mickelson,United States of America
Davis Love III,United States of America
Hal Sutton,United States of America
Vijay Singh,Fiji
Tom Lehman,United States of America
Jesper Parnevik,Sweden
Nick Price,Zimbabwe
Jim Furyk,United States of America
Sergio Garcia,Spain
Stewart Cink,United States of America
Justin Leonard,United States of America
John Huston,United States of America
David Toms,United States of America
Retief Goosen,South Africa
Mike Weir,Canada
Bernhard Langer,Germany
Scott Verplank,United States of America
Bob Estes,United States of America
José Coceres,Argentina
Chris DiMarco,United States of America
Charles Howell III,United States of America
Kenny Perry,United States of America
Darren Clarke,United Kingdom of Great Britain and Northern Ireland
Stuart Appleby,Australia
Chad Campbell,United States of America
Robert Allenby,Australia
K.J. Choi,"Korea, Republic of"
Adam Scott,Australia
Todd Hamilton,United States of America
Stephen Ames,Trinidad and Tobago
Luke Donald,United Kingdom of Great Britain and Northern Ireland
Padraig Harrington,Ireland
Tim Clark,South Africa
Geoff Ogilvy,Australia
Trevor Immelman,South Africa
David Howell,United Kingdom of Great Britain and Northern Ireland
José María Olazábal,Spain
Steve Stricker,United States of America
Justin Rose,United Kingdom of Great Britain and Northern Ireland
Rory Sabbatini,South Africa
Ángel Cabrera,Argentina
Zach Johnson,United States of America
Henrik Stenson,Sweden
Aaron Baddeley,Australia
Camilo Villegas,Colombia
Lee Westwood,United Kingdom of Great Britain and Northern Ireland
Anthony Kim,United States of America
Paul Casey,United Kingdom of Great Britain and Northern Ireland
Ian Poulter,United Kingdom of Great Britain and Northern Ireland
Sean O'Hair,United States of America
Lucas Glover,United States of America
Graeme McDowell,United Kingdom of Great Britain and Northern Ireland
Rory McIlroy,United Kingdom of Great Britain and Northern Ireland
Matt Kuchar,United States of America
Dustin Johnson,United States of America
Hunter Mahan,United States of America
Jason Day,Australia
Charl Schwartzel,South Africa
Webb Simpson,United States of America
Nick Watney,United States of America
Louis Oosthuizen,South Africa
Bubba Watson,United States of America
Jason Dufner,United States of America
Brandt Snedeker,United States of America
Keegan Bradley,United States of America
Jordan Spieth,United States of America
Rickie Fowler,United States of America
Martin Kaymer,Germany
Billy Horschel,United States of America
Jimmy Walker,United States of America
Hideki Matsuyama,Japan
Brooks Koepka,United States of America
Shane Lowry,Ireland
J.B. Holmes,United States of America
Patrick Reed,United States of America
Danny Willett,United Kingdom of Great Britain and Northern Ireland
Branden Grace,South Africa
Russell Knox,United Kingdom of Great Britain and Northern Ireland
Justin Thomas,United States of America
Jon Rahm,Spain
Marc Leishman,Australia
Francesco Molinari,Italy
Rafa Cabrera Bello,Spain
Bryson DeChambeau,United States of America
Tommy Fleetwood,United Kingdom of Great Britain and Northern Ireland
Tony Finau,United States of America
Xander Schauffele,United States of America
Alex Noren,Sweden
Patrick Cantlay,United States of America
Gary Woodland,United States of America
Collin Morikawa,United States of America
Daniel Berger,United States of America
Tyrrell Hatton,United Kingdom of Great Britain and Northern Ireland
Matt Fitzpatrick,United Kingdom of Great Britain and Northern Ireland
Harris English,United States of America
Abraham Ancer,Mexico
Viktor Hovland,Norway
Scottie Scheffler,United States of America
Cameron Smith,Australia
Will Zalatoris,United States of America
Sam Burns,United States of America
Cameron Young,United States of America
Sungjae Im,"Korea, Republic of"
Joaquin Niemann,Chile
Max Homa,United States of America
Brian Harman,United States of America
Wyndham Clark,United States of America
Tom Kim,"Korea, Republic of"
Sepp Straka,Austria
Ludvig Åberg,Sweden
Sahith Theegala,United States of America
Russell Henley,United States of America
Robert MacIntyre,United Kingdom of Great Britain and Northern Ireland
